### Parts and Pricing List

**Description** | **Part Number** | **Price**  
| Carton Insert for Lavatory                   | A53590       |       |
| Vandal-Resistant Aerator - Female, 0.5 GPM   | A53665       |       |
| Complete SPT Assembly with Components        | A53667       |       |
| High Arc Long SPT Assembly - Brushed Chrome  | A53667BC     |       |
| High Arc Long Spout Assembly - Nickel        | A53667N      |       |
| SPT Flange High Arc (for 1-Piece Water)     | A53672       |       |
| Flagship Wear Ring                           | A53862       |       |
| Replacement Regency Handle Assembly           | A53863       |       |
| Inspected Handle                              | A53865CK     |       |
| Handle                                       | A53865       |       |
| Handle - Brassy Gold                         | A53865D      |       |
| Regency Spout - Nickel                       | A53872N      |       |
| Replacement for A53872N                      | A53872NR     |       |
| Regency Spout Replacement Kit - Chrome       | A53872R      |       |
| Restored Swivel Aerator (Almond)            | A53877AL     |       |
| Swivel Aerator - Regency Nickel              | A53877N      |       |
| Regency Upper Flange - Chrome                | A53896       |       |
| Regency Upper Flange - Checked               | A53896CK     |       |
| Regency Upper Flange - Gold                  | A53896D      |       |
| Use A55329                                   | A53920D      |       |
| Flagship Hose Guide                          | A53921       |       |
| Flagship Mounting Washer                      | A53927       |       |
| Flagship Base Assembly without Diverter      | A53986       |       |
| Flagship Base Assembly with Diverter         | A53987       |       |
| Ring                                         | A54057       |       |
| Flagship Faucet Base - Chrome                | A54059       |       |
| Single Lever Flagship Faucet Base - Gold     | A54059D      |       |
| Spout Cover                                  | A54080       |       |
| Regency Hardware Bag - PM                    | A54081       |       |
| Flagship Hose Guide Washer                   | A54082       |       |
| Flagship Hose Guide Nut                      | A54086       |       |
| Lower Accent Ring - Almond                   | A54087AL     |       |
| Lower Accent Ring - Black                    | A54087BK     |       |
| Flagship Lower Accent Ring - Gold            | A54087D      |       |
| Lower Accent Ring - White                    | A54087WH     |       |
| Flagship Socket Wrench - 2.75 in             | A54089       |       |
| Regency-Metric Stem Micro                    | A54111       |       |
| Replacement Base Assembly without Diverter - Chrome  | A54116       |       |
| Replacement Base Assembly with Diverter - Chrome  | A54117       |       |
| Replacement Base Assembly with Diverter - Gold   | A54117D      |       |
| Regency Wear Ring (x2)                       | A54120       |       |
| Handle Pack                                  | A54121       |       |
| Washer (P2798)                               | A54195       |       |
| Weight Assembly (P99870)                     | A54196       |       |
| Screw (P1839)                                | A54205       |       |
| Washer (P2212)                               | A54207       |       |
| Replacement Cartridge (Hot)                  | A54212R      |       |
| Replacement Cartridge (Cold)                 | A54213R      |       |
| O-Ring (P0340)                              | A54222       |       |
| Plug (P1952)                                 | A54223       |       |
| Complete Cartridge                            | A54236       |       |
| Replacement Cartridge (Single Lever)         | A54236R      |       |
| O-Ring (P2380)                              | A54237       |       |
| Locking Plate (P02727)                       | A54240       |       |
| Snap Ring (P1899)                            | A54241       |       |
| Screw (P1412)                                | A54244       |       |
| IPS Adapter with Nut                          | A54247       |       |
| Check Valve (R99330)                         | A54250       |       |
| Spout Nut - Unplated                         | A54269       |       |
| Polystyrene Nest, Filler, & Block           | A54283       |       |
| 17.69 x 11.88 x 4.63 D/C Carton              | A54285       |       |
| Lower Dome - Chrome Plated                   | A54308       |       |
| Regency Handle - Buffed                      | A54331       |       |
| Regency Handle with Logo - Almond            | A54332       |       |
| Regency Handle with Logo - White             | A54333       |       |
| Regency Handle with Logo - Black             | A54334       |       |
| Regency Spray Head Hose                      | A54351       |       |
| Regency Spray Head Hose                      | A54352       |       |
| Regency Spray Head Hose                      | A54353       |       |
| Hose Guide - Almond                          | A54354AL     |       |
| Flagship Hose Guide - Black                  | A54354BK     |       |
| Regency Spray Nest Assembly                  | A54354D      |       |
| Hose Guide Assembly                           | A54354N      |       |
| Flagship Hose Guide - White                  | A54354WH     |       |
| Regency Handle Assembly - Almond              | A54376       |       |
| Regency Handle Assembly - White               | A54377       |       |
| Regency Handle Assembly - Black               | A54378       |       |
| Handle Pack BH5                              | A54386       |       |
| Parts List/Warranty Sheet                    | A54387       |       |
| Water Way for LKE4121 and LKE4122           | A54422       |       |
| Hose Guide Sleeve                             | A54439       |       |
| Hose Guide Sleeve Sub-Assembly                | A54439       |       |
| Lower Housing Assembly with Diverter          | A54441       |       |
| Lower Housing Assembly with Diverter          | A54442       |       |
| Lower Housing with Solid Mounting Shaft      | A54443       |       |
| Replacement Lower Housing Assembly            | A54456       |       |
| Replacement Lower Housing Assembly            | A54457       |       |
| Set Screw with Nylon Patch                   | A54470       |       |
| Carton                                       | A54471       |       |
| Valve Assembly                                | A54475       |       |
| Valve Assembly - Almond                       | A54475AL     |       |
| Valve Assembly - Black                        | A54475BK     |       |
| Valve Assembly - White                        | A54475WH     |       |
| Check Valve                                  | A54490       |       |
| Replacement Vacuum Breaker                     | A54490R      |       |
| Split Spout Protector                        | A54502S      |       |
| Escutcheon - Chrome Plated                   | A54517       |       |
| Escutcheon - Brassy Gold                     | A54517D      |       |
| Base - Nickel                                 | A54517N      |       |
| Black Belleville Washer                      | A54520       |       |
| Hardware Kit                                  | A54523       |       |
| Chrome Plated Spout                          | A54530       |       |
| Spout - Brassy Gold                          | A54530D      |       |
| Hi-Arc Polish Buffed Spout                   | A54531       |       |
| Black Dome                                    | A54532       |       |
| White Dome                                    | A54533       |       |
| Almond Dome                                   | A54534       |       |
| Spout Nut - Nickel Plated                    | A54542       |       |
| Spout Nut - Black                             | A54543       |       |
| Spout Nut - White                            | A54544       |       |
| Hi-Arc Spout - Almond                         | A54545       |       |
| Hi-Arc Spout - Black                         | A54546       |       |
| Hi-Arc Spout - White                          | A54547       |       |
| Hub Less Hole - Almond                        | A54548       |       |
| Hub Less Hole - Black                        | A54549       |       |
| Hub Less Hole - White                        | A54550       |       |
| Escutcheon - Almond                           | A54562       |       |
| Escutcheon - Black                            | A54563       |       |
| Escutcheon - White                            | A54564       |       |
| High Arc Spout Assembly - Almond              | A54565       |       |
| High Arc Spout Assembly - Black               | A54566       |       |
| High Arc Spout Assembly - White               | A54567       |       |
| Sleeve - Almond                                | A54568       |       |
| Sleeve - Black                                  | A54569       |       |
| Sleeve - White                                 | A54570       |       |
| Flange - Almond                                | A54571       |       |
| Flange - Black                                 | A54572       |       |
| Flange - White                                 | A54573       |       |
| High Arc Spout Assembly - Gold                 | A54574       |       |
| Replacement Base Assembly - High Arc - Almond | A54575       |       |
| Replacement Base Assembly - High Arc - Black   | A54576       |       |
| Replacement Base Assembly - High Arc - Gold    | A54577       |       |
| Replacement Base Assembly - High Arc - White    | A54578       |       |
| Spout Nut - Almond                             | A54579       |       |
| Escutcheon Sleeve Bag - Gold                  | A54588       |       |
| Escutcheon Sleeve Bag - Almond                | A54589       |       |
| Escutcheon Sleeve Bag - White                 | A54590       |       |
| Escutcheon Sleeve Bag - Black                 | A54591       |       |
| Bag of Hardware                               | A54592       |       |
| Adapter                                       | A54600       |       |
| Lower Housing                                 | A54606       |       |
| Waterway Assembly                             | A54608       |       |
| Nut                                          | A54613       |       |
| Outer Base - White                           | A54615       |       |
| Outer Base - Almond                          | A54616       |       |
| Outer Base - Chrome Plated                   | A54618       |       |
| Outer Base - Brassy Gold                     | A54618D      |       |
| Spout Body - White                           | A54626       |       |
| Spout Body - Almond                          | A54627       |       |
| Spout Body - Black                           | A54628       |       |
| Spout Body - Chrome with Logo                | A54629       |       |
| Plastic Bushing                              | A54632       |       |
| Check Valve (Duckbill)                       | A54633       |       |
| Reworked Orifice                             | A54635       |       |
| Replacement Spout Body - White with Bushing  | A54645       |       |
| Male Aerator                                 | A54646       |       |
| Replacement Spout Body - Almond with Bushing  | A54647       |       |
| Replacement Spout Body - Black with Bushing   | A54648       |       |
| Replacement Spout Body - Chrome with Bushing  | A54649       |       |
| Polished Spout Body                          | A54650       |       |
| Bag of Hardware                              | A54652       |       |
| Lower Shell                                 | A54657       |       |
| Replacement Spray Hose                       | A54669       |       |
| Replacement Spray Plate                      | A54678       |       |
| Replacement Spray Assembly - Black           | A54679       |       |
| Replacement Spray Assembly - Almond          | A54680       |       |
| Replacement Spray Assembly - White           | A54681       |       |
| Hub - Gold with Logo                        | A54682       |       |

Please note that prices are yet to be determined for most items.

### Parts Inventory Overview

| PART DESCRIPTION                                    | ITEM NUMBER | PRICE |
|-----------------------------------------------------|-------------|-------|
| Spout Nut Abraded                                  | A54687      |       |
| Check Valve Sprayhead                              | A54692      |       |
| Ring (A53956)                                     | A54697      |       |
| Handle (Diacore)                                  | A54701      |       |
| Aerator Shell White                                | A54713      |       |
| Aerator Shell Black                                | A54714      |       |
| Aerator Shell Almond                               | A54715      |       |
| Belleville Washer                                   | A54737      |       |
| Split Spout Protector                              | A54738S     |       |
| Hex Key Special Setscrew                          | A54765      |       |
| Spout (Rigid)                                     | A54772      |       |
| Canister Assembly Service                          | A54773      |       |
| O-Ring                                             | A54785      |       |
| Vandal-Proof Aerator Male GPM                     | A54787      |       |
| Nipple                                             | A54800      |       |
| Base Almond                                       | A54803      |       |
| Base Black                                         | A54804      |       |
| Base White                                         | A54805      |       |
| Aerator Shell Almond                               | A54813      |       |
| Aerator Shell Black                                | A54814      |       |
| Aerator Shell White                                | A54815      |       |
| Replacement Base Assembly with Diverter (White)   | A54845      |       |
| Replacement Base Assembly with Diverter (Black)   | A54846      |       |
| Replacement Base Assembly without Diverter (Almond) | A54850      |       |
| Washer Nom Series-N Galvanized                     | A54870      |       |
| Orifice Assembly                                    | A54874      |       |
| Support; Knob (Machined)                          | A54879      |       |
| Escutcheon Sleeve with Logo                        | A54882      |       |
| Anti-Rotation Washer Plated                        | A54883      |       |
| Screen                                             | A54888      |       |
| Lower Housing Replacement Kit without Diverter     | A54899      |       |
| Lower Housing Replacement Kit with Diverter        | A54900      |       |
| Spout Assembly                                     | A54903      |       |
| Carton                                            | A54908      |       |
| Replacement J-Cartridge Assembly (Left Hand)      | A54914R     |       |
| Replacement J-Cartridge Assembly (Right Hand)     | A54915R     |       |
| Handle Screw                                       | A54917      |       |
| Handle                                             | A54921      |       |
| Cap Nut                                           | A54948      |       |
| IPS Adapter Assembly                               | A54952      |       |
| Lower Housing Replacement Kit - Remote Spout      | A54953      |       |
| Gasket                                            | A54963      |       |
| Gasket                                            | A54963      |       |
| Spout Assembly                                     | A54968      |       |
| Adapter Lavatory Button                            | A54982      |       |
| Button Lavatory                                    | A54983      |       |
| LK142 with Mod Bushing Adapter                     | A54987      |       |
| Faucet Carton Bar Faucet                          | A55005      |       |
| Spout Assembly                                     | A55010      |       |
| Replacement Cartridge Bar Faucet                   | A55012R     |       |
| Snap Ring Spout                                   | A55015      |       |
| Replacement Base Lower Housing Assembly with Diverter | A55018    |       |
| X1/2 Bushing Mod                                  | A55033      |       |
| Button Assembly White                               | A55040      |       |
| Plastic Handle Package White Replacement            | A55041      |       |
| Support Knob                                      | A55042      |       |
| Knob Plated                                       | A55043      |       |
| Actuator Stem Trimmed Brass                        | A55044      |       |
| Cast Spout LK230/LK231                            | A55050      |       |
| Spout Nut Plated                                  | A55051      |       |
| Spout Assembly                                     | A55052      |       |
| Replacement Base Assembly Non-Div Chrome           | A55055      |       |
| Vandal Resistant Aerator Male                      | A55061      |       |
| Vandal Resistant Aerator Female                    | A55062      |       |
| Vandal Resistant Hex Head Screw                    | A55064      |       |
| Adapter                                            | A55066      |       |
| Spray Assembly Brushed Chrome                      | A55095BC    |       |
| Sprayhead Nickel                                   | A55095N     |       |
| Waterway Assembly LKE4121RS LKE413                | A55113      |       |
| Spout Assembly Cont Hi Arc                         | A55114      |       |
| Hose Guide Extension                               | A55133      |       |
| Diverter Tube Extension                            | A55134      |       |
| Washer; Diverter Tube                             | A55135      |       |
| Spacer; Diverter Tube                             | A55136      |       |
| Gold Bubbler with Logo                            | A55139      |       |
| Replacement T. Spray Assembly Chrome               | A55140      |       |
| Brass Shank Inch Long                             | A55144      |       |
| Bag of Hardware                                   | A55145      |       |
| Handle; Regular Chrome with Logo                  | A55146      |       |
| Handle Regency Nickel with Logo                    | A55146N     |       |
| Extension Kit S/L Diverter/Hose Guide             | A55147      |       |
| Instruction Sheet Extension Kit                   | A55148      |       |
| PVC Tubing ID                                     | A55149      |       |
| Replacement MSD LH Red                             | A55157R     |       |
| Replacement MSD RH Blue                            | A55158R     |       |
| MSCR-PHLP 10-24UNC-2A                             | A55165      |       |
| Washer Foam                                        | A55166      |       |
| Snap Ring Machined Laundry Spout                  | A55171      |       |
| UNC-2A Screw; Red                                 | A55179      |       |
| UNC-2A Screw; Blue                                | A55180      |       |
| Hardware Bag Anti-Rotation                        | A55182      |       |
| MSD Handle Kit 4 Inch                             | A55210      |       |
| Metal Dome Regency Chrome                          | A55219      |       |
| Regency Metal Dome Almond                          | A55219AL    |       |
| Regency Metal Dome Black                           | A55219BK    |       |
| Metal Dome Regency Nickel                          | A55219N     |       |
